_time,user,src_ip,action,host
2025-09-29 09:00:00,jsmith,198.51.100.23,fail,web01
2025-09-29 09:00:10,jsmith,198.51.100.23,fail,web01
2025-09-29 09:00:20,jsmith,198.51.100.23,fail,web01
2025-09-29 09:00:30,jsmith,198.51.100.23,fail,web01
2025-09-29 09:00:40,jsmith,198.51.100.23,fail,web01
2025-09-29 09:00:50,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:00,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:10,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:20,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:30,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:40,jsmith,198.51.100.23,fail,web01
2025-09-29 09:01:50,jsmith,198.51.100.23,fail,web01
2025-09-29 09:02:00,jsmith,198.51.100.23,success,web01
2025-09-29 10:10:00,akhan,203.0.113.7,fail,app01
2025-09-29 10:10:20,akhan,203.0.113.7,fail,app01
2025-09-29 11:15:00,mgarcia,198.51.100.100,success,db01
2025-09-29 12:00:00,svc_backup,203.0.113.5,success,backup01
